code,ratio_eco_total,ratio_orgashop,ratio_mart,orgashop_mart,orgashop,mart_wo_orga,mart_orga,orga_total,eco_wo_orga,exp_total,sel1,sel2,sel3,sel4,sel5,sel6,heal1,heal2,heal3,heal4,heal5,sec1,sec2,sec3,sec4,fre1,fre2,fre3,econ1,econ2,econ3,econ4,tast1,tast2,tast3,plea1,plea2,plea3,habi1,habi2,habi3,atti1,atti2,atti3,atti4,atti5,atti6,heal,econ,habit,info,local,new,no_add,plea,sec,taste,ratio_orga_total,ratio_orga_shop,ratio_mart_eco,_clus_1,_clus_2,_clus_3,_clus_4,_clus_5,_clus_6,_clus_7,_clus_8,_clus_9,_clus_10,_clus_11,_clus_12,_clus_13,_clus_14,_clus_15,_clus_16,_clus_17,_clus_18,_clus_19,_clus_20,_clus_21,_clus_22,_clus_23,_clus_24,_clus_25,_clus_26,_clus_27,_clus_28,_clus_29,_clus_30
1031,.1806068,.9772068,.0227932,3744540,3659190,79790,5560,3664750,79790,2.07e+07,6,6,7,6,7,5,5,6,4,4,3,6,6,6,6,6,6,6,6,5,5,5,6,5,6,5,4,5,7,5,6,6,5,6,5,6,6,-.2504,.7533,.6988,.5861,-.0447,.5403,.7115,.0319,.4159,.1751,.1806068,.1764901,.0041166,2,3,4,1,1,4,5,1,3,5,4,7,2,2,2,1,5,3,3,5,6,2,2,5,4,3,6,5,3,3
1032,.0091351,.6307359,.3692642,119860,75600,39870,4390,79990,39870,1.31e+07,6,6,6,5,7,6,5,7,4,2,5,5,5,5,4,7,6,6,6,5,4,3,6,6,6,6,6,4,5,5,5,6,4,4,5,5,5,.1445,-.3431,-.3257,-.4496,-.6091,.9913,-.1079,.8443,.0152,.7905,.0091351,.0057618,.0033733,2,3,3,5,2,2,1,1,2,5,5,3,7,1,3,2,2,2,4,6,5,5,1,5,1,2,5,4,6,1
1033,.0253535,.4511658,.5488342,291179,131370,63729,96080,227450,63729,1.15e+07,6,6,6,6,6,5,3,7,7,4,4,6,5,6,4,7,6,7,7,5,6,4,5,6,6,5,4,4,7,5,6,6,3,4,4,4,4,.3758,.3699,.6988,-1.0992,-1.1735,.5403,.2671,-.2401,.1156,.7905,.0253535,.0114386,.0139149,1,3,4,1,1,3,3,3,2,5,5,3,8,1,5,2,2,2,4,6,5,2,1,5,2,2,5,5,3,1
1034,.000591,0,1,10530,0,10530,0,0,10530,1.78e+07,6,5,7,6,6,4,5,6,5,4,5,5,6,6,5,7,6,6,6,5,4,4,5,5,6,4,3,3,6,5,6,6,6,6,5,6,6,.0313,.1502,.4574,.5861,.5197,.0894,.3364,-1.0544,.673,.1751,.000591,0,.000591,2,2,2,4,1,4,5,3,1,4,4,7,2,1,1,6,5,6,2,5,4,2,2,2,4,2,6,5,3,4
1035,.0024196,.4034022,.5965978,41150,16600,20200,4350,20950,20200,1.70e+07,7,7,7,5,5,1,5,7,4,5,7,7,7,5,5,7,7,7,7,6,1,1,7,6,6,6,6,7,3,3,7,7,7,7,7,7,7,.1445,-1.4362,.2752,1.7592,1.501,.3572,1.5309,1.6605,.8441,.7905,.0024196,.0009761,.0014435,2,3,3,5,2,2,2,1,3,1,3,1,1,4,1,3,3,3,3,2,3,5,4,6,3,6,3,4,6,5
1037,.0037124,.6039808,.3960192,58280,35200,11290,11790,46990,11290,1.57e+07,5,6,6,4,5,4,4,5,5,4,4,4,4,4,4,6,6,5,5,4,4,2,6,2,2,4,2,4,4,4,4,4,5,4,5,4,5,-.6705,-1.0594,-1.1088,-.6644,-.8786,-.2277,-.9273,-1.3246,-.6281,-1.9755,.0037124,.0022422,.0014702,1,1,1,2,3,1,1,2,4,3,2,2,4,6,4,5,6,5,1,1,2,1,3,3,5,5,1,3,5,6
1041,.0017399,0,1,17030,0,12730,4300,4300,12730,9788098,4,5,6,5,6,5,4,4,4,3,2,4,4,5,3,6,4,5,6,5,4,4,5,5,5,4,4,7,6,4,6,4,4,4,4,4,4,-1.347,.1502,.4574,-1.0992,-1.443,-.2277,-.9273,.5761,-1.0851,.099,.0017399,0,.0017399,1,1,1,3,3,1,4,2,2,3,6,4,5,5,4,2,6,5,5,6,5,6,1,4,2,4,1,2,2,2
1046,.0143988,.3437644,.6562356,346400,119080,132820,94500,213580,132820,2.41e+07,7,7,7,5,6,3,6,6,5,7,5,7,5,5,6,7,7,7,4,4,3,3,7,5,5,4,5,4,3,2,4,7,6,5,5,5,5,.3381,-.676,-1.3502,-.1464,.9366,-.8617,.6422,.3021,.5871,.099,.0143988,.0049498,.009449,2,3,3,5,2,2,2,3,1,4,1,5,3,3,1,4,3,1,6,4,3,4,4,1,4,6,3,4,1,5
1047,.0131763,.1020052,.8979948,372530,38000,126930,207600,245600,126930,2.83e+07,6,6,7,6,6,4,6,6,7,4,4,7,6,7,4,7,7,2,6,6,4,4,6,6,4,4,5,6,6,5,6,7,6,6,6,6,6,.9014,.3733,.4574,.8064,.9366,.0894,1.0865,.8462,.4874,.6384,.0131763,.001344,.0118322,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,1,3,3
1052,.0001712,0,1,2800,0,0,2800,2800,0,1.64e+07,4,4,6,6,6,4,6,6,4,4,4,4,3,4,4,6,6,4,4,4,4,4,6,3,2,2,2,6,7,4,7,4,6,5,4,4,5,.0564,-.0729,1.2406,-.5815,-.3142,-1.1296,-1.3716,-.7805,-.6281,-1.3601,.0001712,0,.0001712,1,1,1,3,3,1,1,2,4,2,2,2,4,6,6,6,1,6,2,3,1,1,3,3,5,1,4,3,5,6
